Time[s], D+, D-
6.237408560000000, 1, 1
6.237408600000000, 1, 0
6.237408760000000, 0, 1
6.237408920000000, 1, 0
6.237409080000000, 0, 1
6.237409160000000, 1, 0
6.237409320000000, 0, 1
6.237409680000000, 1, 0
6.237409920000000, 0, 0
6.237410080000000, 1, 0
6.238407280000001, 0, 1
6.238407360000000, 1, 0
6.238407440000000, 0, 1
6.238407520000000, 1, 0
6.238407600000000, 1, 1
6.238407640000000, 0, 1
6.238407720000001, 1, 0
6.238407800000000, 0, 1
6.238408040000000, 1, 0
6.238408200000000, 0, 1
6.238408280000000, 1, 0
6.238408440000000, 0, 1
6.238408800000000, 1, 0
6.238408960000000, 0, 1
6.238409120000000, 1, 0
6.238409200000000, 0, 1
6.238409360000000, 1, 0
6.238409520000000, 0, 1
6.238409600000000, 1, 1
6.238409640000000, 1, 0
6.238409800000000, 0, 1
6.238409880000000, 1, 0
6.238409960000000, 0, 0
6.238410120000000, 1, 0
6.239407320000000, 0, 1
6.239407400000000, 1, 0
6.239407480000001, 0, 1
6.239407560000000, 1, 0
6.239407680000000, 0, 1
6.239407760000000, 1, 0
6.239407840000000, 0, 1
6.239408080000000, 1, 0
6.239408240000000, 0, 1
6.239408320000000, 1, 0
6.239408480000000, 0, 1
6.239408640000000, 1, 1
6.239408680000000, 1, 0
6.239408760000000, 0, 1
6.239409000000000, 1, 0
6.239409160000000, 0, 1
6.239409240000001, 1, 0
6.239409400000000, 0, 1
6.239409760000000, 1, 0
6.239409920000000, 0, 1
6.239410000000000, 0, 0
6.239410160000000, 1, 0
6.240407360000000, 0, 1
6.240407440000000, 1, 0
6.240407520000000, 1, 1
6.240407560000000, 0, 1
6.240407600000000, 1, 1
6.240407640000000, 1, 0
6.240407720000000, 0, 1
6.240407800000000, 1, 0
6.240407880000000, 0, 1
6.240408120000001, 1, 0
6.240408280000000, 0, 1
6.240408360000000, 1, 0
6.240408520000000, 0, 1
6.240408800000000, 1, 0
6.240409040000000, 0, 1
6.240409200000000, 1, 0
6.240409280000000, 0, 1
6.240409440000001, 1, 0
6.240409600000000, 1, 1
6.240409640000000, 0, 1
6.240409720000000, 1, 0
6.240409880000001, 0, 1
6.240410040000000, 0, 0
6.240410200000000, 1, 0
6.241407440000000, 0, 1
6.241407520000000, 1, 0
6.241407600000000, 0, 1
6.241407680000000, 1, 0
6.241407760000000, 1, 1
6.241407800000000, 0, 1
6.241407840000000, 1, 1
6.241407880000001, 1, 0
6.241407960000000, 0, 1
6.241408200000000, 1, 0
6.241408360000000, 0, 1
6.241408440000000, 1, 0
6.241408600000000, 0, 1
6.241408760000001, 1, 1
6.241408800000000, 1, 0
6.241409120000000, 0, 1
6.241409280000000, 1, 0
6.241409360000000, 0, 1
6.241409520000000, 1, 0
6.241409680000000, 0, 1
6.241409760000000, 1, 1
6.241409800000000, 1, 0
6.241410120000000, 0, 0
6.241410280000000, 1, 0
6.242407480000000, 0, 1
6.242407560000000, 1, 0
6.242407640000000, 0, 1
6.242407720000000, 1, 0
6.242407800000001, 0, 1
6.242407880000000, 1, 0
6.242407960000000, 0, 1
6.242408200000000, 1, 1
6.242408240000000, 1, 0
6.242408400000000, 0, 1
6.242408480000000, 1, 0
6.242408640000000, 0, 1
6.242409120000000, 1, 0
6.242409320000000, 0, 1
6.242409400000001, 1, 0
6.242409560000000, 0, 1
6.242409880000000, 1, 0
6.242409960000000, 0, 1
