Time [s],Byte
11.445566812499999,0xA5
11.445567499999999,0x4F
11.445568124999999,0x69
11.466567187500001,0x88
11.466567749999999,0xA5
11.466568437499999,0x64
11.466569062500000,0xD1
11.469567312500001,0x88
11.469567874999999,0xA5
11.469568562499999,0x67
11.469569187499999,0x91
11.483567937500000,0x88
11.483568500000001,0xA5
11.483569187500001,0x75
11.483569812500001,0xC9
11.533570187500001,0x88
11.533570750000001,0xA5
11.533571437499999,0xA7
11.533572124999999,0x79
11.540570499999999,0x88
11.540571062500000,0xA5
11.540571750000000,0xAE
11.540572437500000,0xF1
11.554571125000001,0x88
11.554571687499999,0xA5
11.554572374999999,0xBC
11.554573062499999,0xA9
11.604573374999999,0x88
11.604573937500000,0xA5
11.604574625000000,0xEE
11.604575250000000,0xA9
11.658575812500001,0x88
11.658576375000001,0xA5
11.658577062499999,0x24
11.658577687499999,0xF2
11.661575937500000,0x88
11.661576500000001,0xA5
11.661577187500001,0x27
11.661577812499999,0xB2
11.683576937500000,0x88
11.683577500000000,0xA5
11.683578187500000,0x3D
11.683578812500000,0x9A
11.722578687500000,0x88
11.722579250000001,0xA5
11.722579937500001,0x64
11.722580562499999,0xAA
11.725578812500000,0x88
11.725579375000001,0xA5
11.725580062500001,0x67
11.725580687500001,0xEA
11.743579625000001,0x88
11.743580187499999,0xA5
11.743580874999999,0x79
11.743581499999999,0xFA
11.796582000000001,0x88
11.796582562499999,0xA5
11.796583249999999,0xAE
11.796583875000000,0x8A
11.810582625000000,0x88
11.810583187500001,0xA5
11.810583875000001,0xBC
11.810584499999999,0xD2
11.819583062500000,0x88
11.819583625000000,0xA5
11.819584312500000,0xC5
11.819584937500000,0x6A
11.821583125000000,0x88
11.821583687500000,0xA5
11.821584375000000,0xC7
11.821585000000001,0xD2
11.825583312499999,0x88
11.825583875000000,0xA5
11.825584562500000,0xCB
11.825585187500000,0x9A
11.835583750000000,0x88
11.835584312500000,0xA5
11.835585000000000,0xD5
11.835585625000000,0x8A
11.836583812500001,0x88
11.836584374999999,0xA5
11.836585062499999,0xD6
11.836585687500000,0xCA
11.856584687500000,0x88
11.856585250000000,0xA5
11.856585937500000,0xEA
11.856586562500000,0xEA
11.860584875000001,0x88
11.860585437499999,0xA5
11.860586124999999,0xEE
11.860586750000000,0xD2
11.871585375000000,0x88
11.871585937500001,0xA5
11.871586625000001,0xF9
11.871587249999999,0x4A
11.914587312500000,0x88
11.914587875000000,0xA5
11.914588562500001,0x24
11.914589187500001,0xDB
11.921587625000001,0x88
11.921588187499999,0xA5
11.921588874999999,0x2B
11.921589500000000,0xD3
11.939588437499999,0x88
11.939589000000000,0xA5
11.939589687500000,0x3D
11.939590312500000,0xB3
11.949588875000000,0x88
11.949589437500000,0xA5
11.949590125000000,0x47
11.949590750000000,0x4B
11.964589562500000,0x88
11.964590125000001,0xA5
11.964590812499999,0x56
11.964591437499999,0x53
11.970589812500000,0x88
11.970590375000000,0xA5
11.970591062500000,0x5C
11.970591687500001,0x9B
11.985590500000001,0x88
11.985591062499999,0xA5
11.985591749999999,0x6B
11.985592375000000,0x8B
11.988590625000001,0x88
11.988591187500001,0xA5
11.988591874999999,0x6E
11.988592499999999,0x4B
11.995590937499999,0x88
11.995591500000000,0xA5
11.995592187500000,0x75
11.995592812500000,0x9B
11.999591125000000,0x88
11.999591687500001,0xA5
11.999592375000001,0x79
11.999593000000001,0xD3
12.003591312499999,0x88
12.003591875000000,0xA5
12.003592562500000,0x7D
12.003593187500000,0xEB
